,model,time_period,site_name,min,mean,max,sd
65,RCM3_gfdl,current,RandomSite5,-1.919323775764358e-17,2.8504294438380207,146.6811881022295,7.1929354623086095
66,CRCM_ccsm,future,RandomSite5,0.0,2.0804059954994876,64.29635227541439,5.116754753516899
67,CRCM_cgcm3,future,RandomSite5,0.0,2.552616199742839,81.02495114144403,6.252501727612401
68,HRM3_gfdl,future,RandomSite5,0.0,3.1010900847677196,146.4667988773158,8.176845677721087
69,HRM3_hadcm3,future,RandomSite5,-1.1682741308479446e-08,3.0900537790798035,211.98707749745154,8.994692263817312
70,RCM3_cgcm3,future,RandomSite5,-2.254431171085686e-17,2.751541183034494,161.86766943795874,8.351526219303269
71,RCM3_gfdl,future,RandomSite5,-2.60462633902871e-17,3.071657714343939,123.44221105486213,7.849827664168256
72,CRCM_ccsm,current,RandomSite6,0.0,0.8319553941703021,41.786369669716805,2.449094818936802
73,CRCM_cgcm3,current,RandomSite6,0.0,0.6817629480373085,37.50033550313674,1.8975901839571643
74,HRM3_gfdl,current,RandomSite6,0.0,1.5800772672070396,125.96332363318652,5.662601644341116
75,HRM3_hadcm3,current,RandomSite6,-3.315648522036194e-08,1.1057064783914343,91.85786086600274,4.115197795029539
76,RCM3_cgcm3,current,RandomSite6,-1.3888693758678607e-17,0.7739824854019846,37.102137005422264,2.745758522625812
77,RCM3_gfdl,current,RandomSite6,-1.7963385202128727e-17,1.426354415865836,92.6122147066053,4.580949059986709
78,CRCM_ccsm,future,RandomSite6,0.0,0.7437436778017193,46.324499789625406,2.228048549132148
79,CRCM_cgcm3,future,RandomSite6,0.0,0.661052105336019,39.76321448280942,2.096239926743582
80,HRM3_gfdl,future,RandomSite6,0.0,1.447400495807317,131.82083280568548,5.791881813073083
81,HRM3_hadcm3,future,RandomSite6,-5.2104847194679726e-08,1.2389331324175528,104.1330746607855,5.235860852634329
82,RCM3_cgcm3,future,RandomSite6,-2.369574669281262e-17,0.7159497133619858,57.9256558092311,2.884013227481819
83,RCM3_gfdl,future,RandomSite6,-2.998496628357731e-17,1.2261356599683262,71.87822466730722,4.082489779963994
84,CRCM_ccsm,current,RandomSite7,0.0,1.3661038315344094,52.673269668594,3.1270533319229683
85,CRCM_cgcm3,current,RandomSite7,0.0,1.4981375816954479,50.575118424603716,3.330200738535154
86,HRM3_gfdl,current,RandomSite7,0.0,2.6097370132733406,169.45821617846377,7.059630985674059
87,HRM3_hadcm3,current,RandomSite7,-2.553785254555581e-08,2.115588392134173,191.50226160719228,6.707932514927542
88,RCM3_cgcm3,current,RandomSite7,-1.398000964249088e-17,1.8796717882864344,124.51526677468792,6.140477169321311
89,RCM3_gfdl,current,RandomSite7,-1.991983312819298e-17,2.394605631915694,112.81545777632972,6.27542848029514
90,CRCM_ccsm,future,RandomSite7,0.0,1.3525931417066654,74.13590094074607,3.45083611997118
91,CRCM_cgcm3,future,RandomSite7,0.0,1.575592154593889,76.2809025705792,3.7919975212495465
92,HRM3_gfdl,future,RandomSite7,0.0,2.3302381691189855,186.31499938492198,6.770191306155571
93,HRM3_hadcm3,future,RandomSite7,-1.352130268102332e-08,2.168697725089229,149.11252628371585,7.255560314866727
94,RCM3_cgcm3,future,RandomSite7,-2.0754127263508808e-17,1.6945615457269811,108.281067680673,5.955919371083573
95,RCM3_gfdl,future,RandomSite7,-1.7616961882066944e-17,2.36123733826424,200.87269512587227,6.842698153714144
96,CRCM_ccsm,current,RandomSite8,0.0,1.075940486619877,59.149341587908566,2.739121355507846
97,CRCM_cgcm3,current,RandomSite8,0.0,1.1950332183075125,43.81167787942104,2.9563180796371387
98,HRM3_gfdl,current,RandomSite8,0.0,1.9530297978345665,114.44297916605137,5.4380177802408
99,HRM3_hadcm3,current,RandomSite8,-2.0916365965899675e-08,1.5636779070791758,113.10377244408159,5.210847529078145
100,RCM3_cgcm3,current,RandomSite8,-1.6215417727328014e-17,1.567516831534073,105.43395108834375,5.312125724006389
101,RCM3_gfdl,current,RandomSite8,-1.390162848471593e-17,2.017815035116646,136.94775895746716,5.393178267041468
102,CRCM_ccsm,future,RandomSite8,0.0,1.047339588052322,61.65205696597695,3.003555901013987
103,CRCM_cgcm3,future,RandomSite8,0.0,1.1930267266213757,56.413796112110504,3.1851189802103588
104,HRM3_gfdl,future,RandomSite8,0.0,1.767428041408325,112.94291501430962,5.42564305950633
105,HRM3_hadcm3,future,RandomSite8,-2.0414890659135482e-08,1.4919012092848687,149.96366273844615,5.650856889970336
106,RCM3_cgcm3,future,RandomSite8,-2.0634517207257738e-17,1.3272775464129338,130.86054697923828,4.977499236660417
107,RCM3_gfdl,future,RandomSite8,-1.7660636715487157e-17,1.9167889311725799,97.14814952749293,5.368112691388212
108,CRCM_ccsm,current,RandomSite9,0.0,1.2341379027964892,53.70120175648481,3.0284619918717
109,CRCM_cgcm3,current,RandomSite9,0.0,1.3362328194388575,48.25993550475687,3.167919099230549
110,HRM3_gfdl,current,RandomSite9,0.0,2.347885213225959,240.57233319808802,6.810738240613731
111,HRM3_hadcm3,current,RandomSite9,-2.225637116010787e-08,1.8587030682934134,154.80376947468812,5.983755457107618
112,RCM3_cgcm3,current,RandomSite9,-1.739064551638357e-17,1.663734331581555,122.6666695671156,5.482203825035591
113,RCM3_gfdl,current,RandomSite9,-2.2705115175185517e-17,2.2208020915386837,94.16319354764369,5.739847558689227
114,CRCM_ccsm,future,RandomSite9,0.0,1.204004616815705,67.60362993227318,3.263030693002024
115,CRCM_cgcm3,future,RandomSite9,0.0,1.3819817722717131,50.8820273265826,3.477438725342183
116,HRM3_gfdl,future,RandomSite9,0.0,2.126026918694077,178.16531929966004,6.343659329129945
117,HRM3_hadcm3,future,RandomSite9,-2.2920224393814325e-08,1.8810169479093921,153.09695125906728,6.6943826656858585
118,RCM3_cgcm3,future,RandomSite9,-2.4712185887783237e-17,1.5440840019452664,263.44359698414337,6.190741711586826
119,RCM3_gfdl,future,RandomSite9,-2.363619019705077e-17,2.1812277284934094,169.58137107003495,6.4028539996021285
120,CRCM_ccsm,current,RandomSite10,0.0,1.2482130254883534,46.107839012984186,2.7890262507901573
121,CRCM_cgcm3,current,RandomSite10,0.0,1.3868372401071547,47.14744474939003,3.1563079447266538
122,HRM3_gfdl,current,RandomSite10,0.0,1.93145705655585,139.2807167520581,5.631680850675172
123,HRM3_hadcm3,current,RandomSite10,-2.1915469439193203e-08,1.5338458145191376,102.67393137328327,5.102812969036679
124,RCM3_cgcm3,current,RandomSite10,-2.0989873631116882e-17,1.760855168269341,98.96042143955128,5.5348479516234885
125,RCM3_gfdl,current,RandomSite10,-1.6588610982406344e-17,2.4549337884557225,172.40798196589537,6.632610662127506
126,CRCM_ccsm,future,RandomSite10,0.0,1.2410888069620307,78.69512139586732,3.115759405339647
127,CRCM_cgcm3,future,RandomSite10,0.0,1.4144707558739928,67.54652009694837,3.3878764458225037
128,HRM3_gfdl,future,RandomSite10,0.0,1.695891163880855,144.25805755890906,5.272076917490916
129,HRM3_hadcm3,future,RandomSite10,-1.7264113084518193e-08,1.501519280998191,169.22398255355802,5.5662570547827634
130,RCM3_cgcm3,future,RandomSite10,-1.9513355684876005e-17,1.549155261119765,251.97849245266755,5.972273285391345
131,RCM3_gfdl,future,RandomSite10,-2.1317437043908025e-17,2.3794923448266747,376.834419707302,7.653806288440379
