,model,time_period,site_name,min,mean,max,sd
27,HRM3_hadcm3,current,RandomSite2,0.544248222506112,5.716286702511271,17.743625698928916,2.3635933476555424
28,RCM3_cgcm3,current,RandomSite2,0.9433222020545389,5.649815632431995,16.538007409781258,2.1492236071783384
29,RCM3_gfdl,current,RandomSite2,0.7287060786298081,5.893712311925498,20.11830243346499,2.4273751383591957
30,CRCM_ccsm,future,RandomSite2,0.29055735353097584,6.767174589320241,19.615928019246063,2.890198980521971
31,CRCM_cgcm3,future,RandomSite2,0.24068614497447763,6.644329990308478,19.543779693202143,3.090264292660204
32,HRM3_gfdl,future,RandomSite2,0.6198825033628139,5.678017254815508,16.873743659439658,2.2984322186117883
33,HRM3_hadcm3,future,RandomSite2,0.571564568653725,5.679193855520561,16.414963211973657,2.3681091365670635
34,RCM3_cgcm3,future,RandomSite2,1.0334511169921075,5.565767343270519,16.30505862939792,2.0919098296125247
35,RCM3_gfdl,future,RandomSite2,0.4794470401699774,5.727330028252697,15.858046929320096,2.3768599752798947
36,CRCM_ccsm,current,RandomSite3,0.47407001852934727,5.902919268919689,16.544631666145463,2.489380837677813
37,CRCM_cgcm3,current,RandomSite3,0.5687072469879073,5.807768981452332,16.915703553825555,2.5090082202474084
38,HRM3_gfdl,current,RandomSite3,0.663747459302676,5.035866420462637,15.851462949924077,2.0449870163044515
39,HRM3_hadcm3,current,RandomSite3,0.6175978393085995,5.076492154070989,16.170259055313753,2.1078224815177835
40,RCM3_cgcm3,current,RandomSite3,0.6049763702087276,5.785926659757471,16.821088696472142,2.2043320710452288
41,RCM3_gfdl,current,RandomSite3,0.7951495318710481,5.839568269492274,20.255721440033646,2.3693514285053268
42,CRCM_ccsm,future,RandomSite3,0.41788957589620196,5.861953048582284,18.375688654751634,2.4256009505966487
43,CRCM_cgcm3,future,RandomSite3,0.4863016936782774,5.85799489396672,19.006123055097092,2.5649775074908145
44,HRM3_gfdl,future,RandomSite3,0.7986493766012985,5.103799323092949,15.725908715099491,2.0297434769194784
45,HRM3_hadcm3,future,RandomSite3,0.5636769247104294,5.056184753478132,14.981488615768704,2.1245886020820843
46,RCM3_cgcm3,future,RandomSite3,0.7627396032265154,5.714092280577771,17.349069025755867,2.1532998096028906
47,RCM3_gfdl,future,RandomSite3,0.917767133736783,5.696800535375108,16.327797841473295,2.3300932318745997
48,CRCM_ccsm,current,RandomSite4,0.41653257683072353,5.903173477091622,21.53058763559933,2.4439871637924324
49,CRCM_cgcm3,current,RandomSite4,0.2821172731656917,5.840768530268559,18.760002332753032,2.389330696053158
50,HRM3_gfdl,current,RandomSite4,0.7184624978406353,3.7894783369213716,11.235973535205991,1.506550615413277
51,HRM3_hadcm3,current,RandomSite4,0.42553291119729897,3.7180718746259442,11.107807564347153,1.5209195683190309
52,RCM3_cgcm3,current,RandomSite4,1.214598030057405,5.216317277124357,14.4424343199548,1.8443815650427624
53,RCM3_gfdl,current,RandomSite4,1.3307762062473083,5.262565424235985,16.41154561759457,1.9491678737542848
54,CRCM_ccsm,future,RandomSite4,0.3111746669169249,5.915653814870616,19.593687076613854,2.4137785790957538
55,CRCM_cgcm3,future,RandomSite4,0.3676671167013161,5.869240284395957,19.44758605296311,2.319860684398714
56,HRM3_gfdl,future,RandomSite4,0.44569877917495904,3.6617812295829464,10.15333879391171,1.4485190691349954
57,HRM3_hadcm3,future,RandomSite4,0.723097693864641,3.6390045921722645,10.883167923221658,1.5019856895666952
58,RCM3_cgcm3,future,RandomSite4,1.2997561492203693,5.113355356887827,15.508318186821406,1.8383547398204958
59,RCM3_gfdl,future,RandomSite4,1.2875243790949347,5.107252841817581,14.843657776843912,1.9108928373159668
60,CRCM_ccsm,current,RandomSite5,0.47368023226136613,6.5310064993022525,16.68624228403967,2.7011062454627557
61,CRCM_cgcm3,current,RandomSite5,0.5882610005254473,6.4424894691856265,17.497912608080874,2.7053182368741173
62,HRM3_gfdl,current,RandomSite5,0.6107639972704263,5.20095802868006,15.708520781988454,2.1293445536813667
63,HRM3_hadcm3,current,RandomSite5,0.6637502955190403,5.26723025922699,15.386022404155028,2.165413199276282
64,RCM3_cgcm3,current,RandomSite5,0.8939516669925407,5.2175126030030645,15.04010825864566,1.8357750685680794
65,RCM3_gfdl,current,RandomSite5,0.7672573387976771,5.146108434161523,16.858308334724676,1.9775115640367122
66,CRCM_ccsm,future,RandomSite5,0.6221824934080885,6.458430971651205,17.239683316207795,2.6094466161369043
67,CRCM_cgcm3,future,RandomSite5,0.4891219203840737,6.475723459563151,18.690835860453703,2.7451942468263413
68,HRM3_gfdl,future,RandomSite5,0.749428449133102,5.387046018995932,15.648051622130989,2.15839251837102
69,HRM3_hadcm3,future,RandomSite5,0.6259365364732438,5.318264304791785,15.873196972757071,2.195749701019251
70,RCM3_cgcm3,future,RandomSite5,0.7892006413921716,5.249405378125405,16.580021136918347,1.837112544008528
71,RCM3_gfdl,future,RandomSite5,0.7870420737088831,5.1356464597724765,17.72773569818351,1.9900924990724689
72,CRCM_ccsm,current,RandomSite6,0.40173333589419846,4.563473233632094,15.81400221960694,1.8987664097252188
73,CRCM_cgcm3,current,RandomSite6,0.39137680962180094,4.577084404374707,15.628929573091554,1.91035163260281
74,HRM3_gfdl,current,RandomSite6,0.501466290828855,3.321210866879898,11.039744755060186,1.1826125971808377
75,HRM3_hadcm3,current,RandomSite6,0.524696605967593,3.2724175203427484,9.25299571298553,1.1568424786738225
76,RCM3_cgcm3,current,RandomSite6,0.9198078934855666,5.701152005256938,19.549250604970368,2.062298023510686
77,RCM3_gfdl,current,RandomSite6,0.9854546654775707,5.7714352564474005,19.937766428511907,2.253397373508893
78,CRCM_ccsm,future,RandomSite6,0.5407133802214008,4.536909161173663,16.470767121162346,1.8677010375399012
79,CRCM_cgcm3,future,RandomSite6,0.4677739855106689,4.524317052176852,14.73450182807582,1.8590256585093106
80,HRM3_gfdl,future,RandomSite6,0.6723080330713549,3.3213445034717677,9.576846204747751,1.1368782654809972
81,HRM3_hadcm3,future,RandomSite6,0.4796752989020436,3.2336019916631327,9.614146383560326,1.125070117386026
